raw,config_id,confidence,basis,true_state,notes
MUMBAI,mumbai,high,verified,Maharashtra,"India's largest city, Maharashtra capital; exact match to config mumbai. multi_map was a substring artifact."
DELHI,delhi,high,verified,Delhi,National capital territory; exact match to config delhi. multi_map = substring/alias collision only.
HYDERABAD,hyderabad,high,verified,Telangana,Capital of Telangana; exact match to config hyderabad. Not the Sindh Pakistan Hyderabad.
BENGALURU,bengaluru,high,verified,Karnataka,Karnataka capital (Bangalore); exact match to config bengaluru (alias bangalore).
PATNA,patna,high,verified,Bihar,Capital of Bihar; exact match. multi_map was a visakhaPATNAm substring false hit.
KOLKATA,kolkata,high,verified,West Bengal,West Bengal capital (Calcutta); exact match to config kolkata (alias calcutta).
LUCKNOW,lucknow,high,verified,Uttar Pradesh,Uttar Pradesh capital; exact match to config lucknow.
RANCHI,ranchi,high,geonames+wikidata,Jharkhand,automated CONFIRMED
PUNE,pune,high,geonames+wikidata,Maharashtra,automated CONFIRMED
CHENNAI,chennai,high,verified,Tamil Nadu,Tamil Nadu capital (Madras); exact match to config chennai (alias madras).
BHOPAL,bhopal,high,verified,Madhya Pradesh,Bhopal MP capital; unique major-city name; exact match to config bhopal.
BHUBANESWAR,bhubaneswar,high,geonames+wikidata,Odisha,automated CONFIRMED
JAIPUR,jaipur,high,geonames+wikidata,Rajasthan,automated CONFIRMED
INDORE,indore,high,geonames+wikidata,Madhya Pradesh,automated CONFIRMED
AHMEDABAD,ahmedabad,high,verified,Gujarat,Ahmedabad Gujarat; unique major-city name; exact match. multi_map = alias artifact.
JAMSHEDPUR,jamshedpur,high,geonames+wikidata,Jharkhand,automated CONFIRMED
KATIHAR,katihar,high,geonames+wikidata,Bihar,automated CONFIRMED
SURAT,surat,high,geonames+wikidata,Gujarat,automated CONFIRMED
DHANBAD,dhanbad,high,geonames+wikidata,Jharkhand,automated CONFIRMED
NAGPUR,nagpur,high,geonames+wikidata,Maharashtra,automated CONFIRMED
VISAKHAPATNAM,visakhapatnam,high,verified,Andhra Pradesh,Vizag AP; unique name; exact match. multi_map = artifact.
ASANSOL,asansol,high,verified,West Bengal,Asansol WB; unique major-city name; exact match. multi_map = artifact.
GUWAHATI,guwahati,high,verified,Assam,Guwahati Assam; unique largest-NE-city; exact match. multi_map = artifact.
VARANASI,varanasi,high,verified,Uttar Pradesh,Varanasi UP = config varanasi exactly; distinctive name. multi_map spurious.
RAIPUR,raipur,high,geonames+wikidata,Chhattisgarh,automated CONFIRMED
MUZAFFARPUR,muzaffarpur,high,verified,Bihar,Muzaffarpur Bihar = config (~3km). Distinct from Muzaffarnagar UP.
CHANDIGARH,chandigarh,high,geonames+wikidata,Chandigarh,automated CONFIRMED
GWALIOR,gwalior,high,verified,Madhya Pradesh,Gwalior MP = config gwalior exactly; distinctive name. multi_map spurious.
JABALPUR,jabalpur,high,geonames+wikidata,Madhya Pradesh,automated CONFIRMED
BHILAI,bhilai,high,verified,Chhattisgarh,Bhilai Durg district CG = config bhilai (~4km).
BHAGALPUR,bhagalpur,high,verified,Bihar,Bhagalpur Bihar = config bhagalpur (~1km).
BAREILLY,bareilly,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
DEWAS,dewas,high,geonames+wikidata,Madhya Pradesh,automated CONFIRMED
BHIWANDI,bhiwandi,high,geonames+wikidata,Maharashtra,automated CONFIRMED
BOKARO,bokaro,high,verified,Jharkhand,Bokaro Steel City Jharkhand = config bokaro essentially exact; multi_map noise.
UNNAO,unnao,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
KANPUR,kanpur,high,verified,Uttar Pradesh,Config kanpur matches Kanpur Nagar; dominant Kanpur city = config.
JHANSI,jhansi,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
ALLAHABAD,prayagraj,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
DURGAPUR,durgapur,high,geonames+wikidata,West Bengal,automated CONFIRMED
REWA,rewa,high,verified,Madhya Pradesh,Rewa city MP = config rewa within ~1km; same place same state.
GORAKHPUR,gorakhpur,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
PASCHIM BARDHAMAN,asansol,med,district_fold,West Bengal,district -> HQ config city (user decision 2026-06-16)
COIMBATORE,coimbatore,high,geonames+wikidata,Tamil Nadu,automated CONFIRMED
NORTH GOA,panaji,high,geonames+wikidata,Goa,automated CONFIRMED
RAEBARELI,raebareli,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
AMRITSAR,amritsar,high,verified,Punjab,Sole major Amritsar (Punjab); config amritsar matches.
VIJAYAWADA,vijayawada,high,verified,Andhra Pradesh,Unambiguous major AP city; config vijayawada matches.
GOA,panaji,med,user_decision,Goa,user: all Goa -> Panaji (2026-06-16)
GAYA,gaya,high,verified,Bihar,Gaya Bihar; exact name+state match to config gaya.
BILASPUR,bilaspur,med,user_decision,Chhattisgarh,user: Bilaspur = Chhattisgarh (2026-06-16)
ARRAH,arrah,high,verified,Bihar,Arrah (Ara) Bhojpur dist Bihar; exact match to config arrah.
GUNTUR,guntur,high,verified,Andhra Pradesh,Guntur AP; exact match to config guntur.
HARDOI,hardoi,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
MEERUT,meerut,high,geonames+wikidata,Uttar Pradesh,automated CONFIRMED
VADODARA,vadodara,high,geonames+wikidata,Gujarat,automated CONFIRMED
KHAMMAM,khammam,high,geonames+wikidata,Telangana,automated CONFIRMED
BEHRAMPUR,brahmapur,high,verified,Odisha,Berhampur=Brahmapur Ganjam dist Odisha = config brahmapur (alias berhampur). WB Baharampur has its own string. wd_guess ahmedabad wrong.
SATNA,satna,high,geonames+wikidata,Madhya Pradesh,automated CONFIRMED
NASHIK,nashik,high,geonames+wikidata,Maharashtra,automated CONFIRMED
WARANGAL,warangal,high,geonames+wikidata,Telangana,automated CONFIRMED
PURNIA,purnia,high,verified,Bihar,Purnia (Purnea) Bihar = config purnia <1km. PURNEA variant also present -> same city.
SAGAR,sagar,high,geonames+wikidata,Madhya Pradesh,automated CONFIRMED
MOHALI,mohali,high,verified,Punjab,Mohali = SAS Nagar Punjab = config mohali ~0km.
KATNI,katni,high,verified,Madhya Pradesh,Katni (Murwara) MP district HQ = config katni within ~25km same state.
AGARTALA,agartala,high,verified,Tripura,Capital of Tripura; sole notable place; matches config agartala. multi_map false alarm.
BARDHAMAN,bardhaman,high,verified,West Bengal,Bardhaman/Burdwan city = config bardhaman (alias burdwan) exactly. City name; multi_map false alarm.
BEGUSARAI,begusarai,high,verified,Bihar,Begusarai city Bihar = config begusarai ~1km. multi_map false alarm.
PONDICHERRY,puducherry,high,geonames+wikidata,Puducherry,automated CONFIRMED
SOUTH GOA,panaji,med,user_decision,Goa,user: all Goa -> Panaji (2026-06-16)
